"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"29654";"Q1209793";"nm0004615";"29654";"";"Dick Smith";"0";NULL
"46609";"Q3430982";"nm0500377";"42057";"";"Ted Leighton";"0";"42057"
"63422";"Q15838501";"nm0494628";"63422";"";"Philippe Le Sourd";"0";NULL
"124855";"Q3435044";"nm0254609";"124855";"";"Robert Elliott";"0";NULL
"126342";"Q5561957";"nm0040780";"126342";"";"Nick Atkinson";"0";"2924920"
"132803";"Q11369159";"nm2759146";"4092504";"";"Tomohiro Kubo";"0";"4092504"
"220118";"Q137299234";"nm1264549";"220118";"";"Benjamin Petry";"0";NULL
"555579";"Q11632731";"nm1147118";"554163";"";"Koji Taniguchi";"0";"554163"
"566672";"Q11672243";"nm4132661";"566672";"";"Masahiro Takata";"0";"2464449"
"574339";"Q139623148";"nm0391073";"0";"";"David Stanley";"1";NULL
"933864";"Q140194324";"nm0528804";"933864";"";"Shonna Lynn";"1";NULL
"1060081";"Q28749126";"nm2922572";"1060081";"";"Johnny Pemberton";"0";NULL
"1131195";"Q4157391";"nm3293566";"1131195";"";"Andrey Dementev";"0";"1169026"
"1135629";"Q140258304";"nm0020510";"1135629";"";"Eva Allen";"1";NULL
"1169045";"Q15071123";"nm0501188";"2912025";"";"Aleksandr Lemberg";"0";"2912025"
"1264681";"Q62601428";"nm4301980";"1264681";"";"Yuki Kimura";"0";"2721102"
"1289296";"Q6273718";"nm0907897";"52702";"";"Jonathan Walker";"0";"52702"
"1295417";"Q20445094";"nm4535657";"1295417";"";"Kim Jong-soo";"0";NULL
"1299281";"Q69697161";"nm4300257";"2482161";"";"Park Min-jeong";"0";"2482161"
"1314860";"Q16837254";"nm5325802";"3342204";"";"Jordi Roca";"0";"3342204"
"1330692";"Q30082983";"nm5686622";"1330692";"";"Mohamed Saïd Hafifi";"0";"947663"
"1360155";"Q138462609";"nm4099807";"1360155";"";"Ryan Calais Cameron";"0";NULL
"1366358";"Q23815354";"nm0172258";"1366358";"";"David Collins";"0";NULL
"1380346";"Q63413348";"nm0132367";"1380346";"";"David Campbell";"0";"45357"
"1418612";"Q4321483";"nm0632554";"1418612";"";"Boris Nirenburg";"0";NULL
"1424327";"Q22070229";"nm2931326";"1424327";"";"Van Neistat";"0";NULL
"1452391";"Q6811310";"nm3346060";"1452391";"";"Melanie Marnich";"0";NULL
"1479878";"Q547039";"nm2406693";"1479878";"";"Simon Schaffer";"0";"3996642"
"1491642";"Q1901715";"nm0679430";"1491642";"";"Markus Pfeiffer";"0";NULL
"1496026";"Q19664222";"nm0809727";"1496026";"";"Rob Smith";"0";NULL
"1530543";"Q140070796";"nm6512897";"1530543";"";"Aidan McGraw";"0";NULL
"1611614";"Q24640139";"nm2847100";"0";"";"Tiffany Hsiung";"0";NULL
"1708398";"Q134308979";"nm5751623";"1708398";"";"Caterina Salvadori";"0";NULL
"1728296";"Q2381353";"nm0847042";"60757";"";"Yumi Takada";"0";"60757"
"1744060";"Q111650228";"nm8176068";"1744060";"";"Neha Shetty";"0";NULL
"1764065";"Q107048945";"nm8384526";"0";"";"Benjamin Tranié";"0";NULL
"1809108";"Q3341002";"nm1927176";"0";"";"Nicole Avril";"0";"77445"
"1829555";"Q1476159";"nm0074920";"48669";"";"Michel Bergmann";"0";NULL
"1910530";"Q140217480";"nm3969857";"0";"";"Jenni Morello";"0";NULL
"1910617";"Q118780177";"nm7595796";"1910617";"";"Freya Kreutzkam";"0";NULL
"1930779";"Q77939";"nm2915334";"0";"";"Michael Michalsky";"0";NULL
"1959745";"Q18629338";"nm8302733";"0";"";"Nadine Leopold";"0";NULL
"1992092";"Q17362678";"nm0399076";"0";"";"Ray Wong Chi-Wai";"0";"4021860"
"2069325";"Q115056992";"nm9637577";"0";"";"Heidi Switch";"1";NULL
"2086842";"Q84045668";"nm9826442";"0";"";"Julian Janssen";"0";NULL
"2088240";"Q104722430";"nm6568986";"2088240";"";"Yang Tongshu";"0";"3012427"
"2114695";"Q113514779";"nm8075762";"0";"";"David Helmut";"0";NULL
"2146381";"Q107627250";"nm5091845";"2146381";"";"Jessica Neight";"1";NULL
"2311175";"Q1724178";"nm2850866";"0";"";"Patricia Riekel";"0";NULL
"2311833";"Q20729";"nm5309278";"0";"";"Cro";"0";NULL
"2316314";"Q105704031";"nm6653218";"2316314";"";"Kurumi Nakata";"0";NULL
"2359667";"Q75431";"nm2464110";"0";"";"Senna Gammour";"0";NULL
"2477658";"Q121444035";"nm6140767";"2477658";"";"Tom Read Wilson";"0";NULL
"2529201";"Q20967845";"nm8386064";"0";"";"Marina Hoermanseder";"0";NULL
"2626457";"Q23806108";"nm7324328";"0";"";"Nico Santos";"0";NULL
"2802162";"Q6834414";"nm1530260";"7478";"";"Mike Simpson";"0";"7478"
"2821183";"Q17037402";"nm1281658";"0";"";"Graham Ward";"0";"1854309"
"2857683";"Q1631970";"nm3887701";"0";"";"Massimo Sinató";"0";NULL
"2939560";"Q41693080";"nm10364390";"2314986";"";"Rui Airi";"1";"2314986"
"2958360";"Q56236190";"nm0769661";"2958360";"";"Thomas Schaefer";"0";"2958361"
"2959295";"Q2076564";"nm2204340";"134227";"";"Kaltoum el Fan";"0";"134227"
"2985557";"Q99519786";"nm10911739";"0";"";"Theresia Fischer";"0";NULL
"2991603";"Q66363876";"nm10318356";"0";"";"Gerda Lewis";"0";NULL
"3061257";"Q139623148";"nm0391073";"0";"";"David Stanley";"1";NULL
"3071230";"Q4125778";"nm1373029";"5396416";"";"Christopher Windom";"0";"5396416"
"3093714";"Q95207017";"nm12305224";"0";"";"Jacqueline Wruck";"0";NULL
"3107052";"Q111534574";"nm1317040";"0";"";"Li Xiaohong";"0";NULL
"3195928";"Q140188855";"nm8797158";"3195928";"";"Tichakorn Phukhaotong";"0";NULL
"3277483";"Q131623369";"nm12213000";"3277483";"";"Grant Feely";"0";NULL
"3301838";"Q96119730";"nm11627731";"0";"";"Zoe Wees";"0";NULL
"3412153";"Q12044208";"nm2867226";"4312663";"";"Pavel Plch";"0";"4312663"
"3590533";"Q138654307";"nm5692286";"0";"";"Mariana Cordoba";"1";NULL
"3635191";"Q66828434";"nm12107304";"3635191";"";"Honoka Takigawa";"0";NULL
"3703913";"Q52830362";"nm10342384";"0";"";"Hendrik Lasure";"0";NULL
"3729395";"Q116978789";"nm13536380";"3729395";"";"Ameena Green";"1";NULL
"3748532";"Q24007468";"nm5717619";"0";"";"Maye Musk";"0";NULL
"3818544";"Q119997711";"nm0771175";"0";"";"Georg Scheu";"1";NULL
"3881607";"Q15839498";"nm7427107";"0";"";"Papis Loveday";"0";NULL
"3891247";"Q139498021";"nm5044388";"3891247";"";"Lee";"1";NULL
"3925856";"Q16016482";"nm1885403";"1320795";"";"Magnús Blöndal Jóhannsson";"0";"1320795"
