"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";"";"Doctor Who";"0";NULL
"1007";"Q868399";"tt0078635";"0";"";"Mrs. Columbo";"0";NULL
"1286";"Q4176031";"tt0259128";"0";"";"BattleBots";"0";"62959"
"3107";"Q5617763";"tt0177444";"0";"";"Gullah Gullah Island";"0";NULL
"5478";"Q5057729";"tt1249208";"0";"";"Celebrity Family Feud";"0";"82108"
"6031";"Q8000736";"tt0108990";"0";"";"Wild Oats";"0";NULL
"6690";"Q6431090";"tt7978240";"0";"";"Kopi Kade";"0";NULL
"9787";"Q7757984";"tt0103515";"0";"";"The Powers That Be";"0";NULL
"9962";"Q7814726";"tt0108965";"0";"";"Tom";"0";NULL
"10798";"Q3829022";"tt0075484";"0";"";"Blansky's Beauties";"0";NULL
"22587";"Q16539360";"tt0096558";"0";"";"Christine Cromwell";"0";NULL
"25407";"Q5175094";"tt0161137";"0";"";"Costello";"0";NULL
"25552";"Q4767136";"tt0075476";"0";"";"Anna Karenina";"0";NULL
"39114";"Q7380382";"tt0421165";"0";"";"Rupert of Hentzau";"0";NULL
"40608";"Q1256513";"tt0274473";"0";"";"Drehkreuz Airport";"0";NULL
"40697";"Q913190";"tt1808967";"0";"";"Herzflimmern – Die Klinik am See";"0";NULL
"42506";"Q107011746";"tt2131768";"0";"";"The Mystic Archives of Dantalian";"0";NULL
"57243";"Q39243484";"tt0436992";"0";"";"Doctor Who";"0";NULL
"72716";"Q43054399";"tt5890916";"0";"";"Der Traum von der Neuen Welt";"0";NULL
"74274";"Q26944205";"tt7172670";"0";"";"Azja Express";"0";NULL
"80715";"Q5452076";"tt8461250";"0";"";"Firing Line with Margaret Hoover";"0";"10631"
"85771";"Q21693720";"tt4250064";"0";"";"Heel Holland Bakt";"0";"156792"
"86226";"Q4253907";"tt0449500";"0";"";"Ландыш серебристый 2";"0";NULL
"93164";"Q37995887";"tt10886618";"0";"";"5 Gold Rings";"0";"249122"
"113846";"Q823843";"tt1254039";"0";"";"Mensen zoals jij en ik";"0";"129135"
"116132";"Q116844514";"tt23333038";"0";"";"My Deepest Dream";"0";NULL
"119344";"Q121296185";"tt13393752";"0";"";"Kamp Koekieloekie";"0";NULL
"125353";"Q21190468";"tt5109344";"0";"";"Alta Infedeltà";"0";NULL
"138371";"Q109553489";"tt4534140";"0";"";"Napamiehet";"0";NULL
"200862";"Q13402105";"tt4957334";"0";"";"Fatal Wine";"0";"58211"
"219959";"Q1191955";"tt0493328";"0";"";"Hanaukyou Maid Team";"0";NULL
"239770";"Q126960117";"tt31433814";"0";"";"Doctor Who";"0";NULL
"292557";"Q139376969";"tt37050740";"0";"";"Se tiene que morir mucha gente";"0";NULL
"293298";"Q136005516";"tt37202552";"0";"";"Most Wanted: Teen Hacker";"0";NULL
"299201";"Q4824734";"tt0310416";"0";"";"Australian Survivor";"0";"10957"
"311680";"Q86750416";"tt11170862";"0";"";"Cosmos: Mundos Posibles";"0";"58474"
"318760";"Q139383407";"tt31394052";"0";"";"Uno sbirro in Appennino";"0";NULL
"326239";"Q21159998";"tt3459766";"0";"";"Beacon Hill:  The Series";"0";NULL
"326351";"Q19864309";"tt0444586";"0";"";"Timeless Tales from Hallmark";"0";NULL
"326431";"Q2961482";"tt6502510";"0";"";"Chat Boume";"0";NULL
"326476";"Q18345327";"tt1695587";"0";"";"Late Night Theatre";"0";NULL
"326484";"Q16947420";"tt0186768";"0";"";"Out of Bounds";"0";NULL
"326501";"Q125561711";"tt0805592";"0";"";"La provinciale";"0";NULL
"326502";"Q3017701";"tt1417069";"0";"";"David Copperfield";"0";NULL
"326505";"Q85864654";"tt0452880";"431194";"";"L'ultimo rigore";"0";NULL
"326508";"Q16999591";"tt0418370";"0";"";"La bambina dalle mani sporche";"0";NULL
"326510";"Q3283238";"tt0416694";"122977";"";"Saint John Bosco Mission to Love";"0";NULL
"326583";"Q137188364";"tt0883734";"0";"";"L'indizio";"0";NULL
"326593";"Q16679398";"tt10385690";"0";"";"Teum-Teum";"0";NULL
"326634";"Q3822706";"tt0318892";"146750";"";"La guerra è finita";"0";NULL
"326653";"Q3933092";"tt0347869";"0";"";"Renzo e Lucia";"0";NULL
"326661";"Q2397902";"tt0851421";"164834";"";"The Poisoner";"0";NULL
"326689";"Q19798781";"tt0398605";"0";"";"Watch the Birdies";"0";NULL
"326700";"Q661377";"tt1197864";"0";"";"Il Maresciallo Rocca e l'amico d'infanzia";"0";NULL
"326710";"Q126422846";"tt27073388";"0";"";"Disventure Camp";"0";NULL
"326727";"Q112892550";"tt0419349";"0";"";"Man of Straw";"0";NULL
"326728";"Q18392760";"tt2162303";"0";"";"Stage 2";"0";NULL
