"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";"";"Doctor Who";"0";NULL
"1007";"Q868399";"tt0078635";"0";"";"Mrs. Columbo";"0";NULL
"1286";"Q4176031";"tt0259128";"0";"";"BattleBots";"0";"62959"
"3107";"Q5617763";"tt0177444";"0";"";"Gullah Gullah Island";"0";NULL
"5478";"Q5057729";"tt1249208";"0";"";"Celebrity Family Feud";"0";"82108"
"6031";"Q8000736";"tt0108990";"0";"";"Wild Oats";"0";NULL
"9787";"Q7757984";"tt0103515";"0";"";"The Powers That Be";"0";NULL
"9962";"Q7814726";"tt0108965";"0";"";"Tom";"0";NULL
"10798";"Q3829022";"tt0075484";"0";"";"Blansky's Beauties";"0";NULL
"22587";"Q16539360";"tt0096558";"0";"";"Christine Cromwell";"0";NULL
"25407";"Q5175094";"tt0161137";"0";"";"Costello";"0";NULL
"25552";"Q4767136";"tt0075476";"0";"";"Anna Karenina";"0";NULL
"30492";"Q4694569";"tt0211768";"0";"";"Agujetas de Color de Rosa";"0";"101799"
"31326";"Q1215262";"tt1507077";"0";"";"Die Oliver Pocher Show";"0";NULL
"42270";"Q6956364";"tt2192156";"0";"";"Na Bole Tum Na Maine Kuch Kaha";"0";NULL
"42506";"Q107011746";"tt2131768";"0";"";"The Mystic Archives of Dantalian";"0";NULL
"57243";"Q39243484";"tt0436992";"0";"";"Doctor Who";"0";NULL
"74274";"Q26944205";"tt7172670";"0";"";"Azja Express";"0";NULL
"80715";"Q5452076";"tt8461250";"0";"";"Firing Line with Margaret Hoover";"0";"10631"
"85771";"Q21693720";"tt4250064";"0";"";"Heel Holland Bakt";"0";"156792"
"86226";"Q4253907";"tt0449500";"0";"";"Ландыш серебристый 2";"0";NULL
"93164";"Q37995887";"tt10886618";"0";"";"5 Gold Rings";"0";"249122"
"108504";"Q1211846";"tt1842025";"0";"";"Die Bülent Ceylan Show";"0";NULL
"113846";"Q823843";"tt1254039";"0";"";"Mensen zoals jij en ik";"0";"129135"
"116253";"Q139783019";"tt13802220";"0";"";"Sky Court. Continuation";"0";NULL
"138371";"Q109553489";"tt4534140";"0";"";"Napamiehet";"0";NULL
"200862";"Q13402105";"tt4957334";"0";"";"Fatal Wine";"0";"58211"
"219959";"Q1191955";"tt0493328";"0";"";"Hanaukyou Maid Team";"0";NULL
"237281";"Q24188577";"tt2340977";"0";"";"Jungen gegen Mädchen";"0";NULL
"239770";"Q126960117";"tt31433814";"0";"";"Doctor Who";"0";NULL
"254685";"Q2450367";"tt0484811";"0";"";"Traumhochzeit";"0";NULL
"292557";"Q139376969";"tt37050740";"0";"";"Se tiene que morir mucha gente";"0";NULL
"293298";"Q136005516";"tt37202552";"0";"";"Most Wanted: Teen Hacker";"0";NULL
"299201";"Q4824734";"tt0310416";"0";"";"Australian Survivor";"0";"10957"
"311680";"Q86750416";"tt11170862";"0";"";"Cosmos: Mundos Posibles";"0";"58474"
"325148";"Q3783273";"tt1285233";"0";"";"Happy Ever After";"0";NULL
"325210";"Q68947207";"tt9597412";"0";"";"Animator vs. Animation";"0";NULL
"325231";"Q3958465";"tt0181253";"0";"";"Seven Faces of Woman";"0";NULL
"325306";"Q28415366";"tt7303542";"0";"";"苏足";"0";NULL
"325315";"Q9386138";"tt0849408";"0";"";"Zakręcone";"0";"48086"
"325330";"Q28126974";"tt0163477";"0";"";"Owen, M.D.";"0";NULL
"325370";"Q4189415";"tt0459728";"0";"";"Звезда эпохи";"0";NULL
